Request Year:,2024
Test:,201
Test Description:,
TestRegime Name:,LMB NMC622 100cyc C/2
TestRegime Suffix:,DEMO
TestRegime CellSize:,Pouch 3.5Ah
TestRegime Version:,1
Project Group Name:,LMB Research
Project Group Description:,Lithium Metal Battery cycling study
Project Group Memo:,
Project Group Storage Environment:,R.T./AMB
Project Group Test Environment:,R.T./AMB
Number Of Cells:,1
Parameter names:,
Parameter values:,
Variable names
LotID:,
Lot Description:,
Date Made:,3/01/2024 0:00
Origin:,Lab
Requestor:,Demo
Product ID:,LMB-NMC622-Pouch
Storage Temp:,R.T./AMB
Storage Delay:,0 days
Test Temp:,R.T./AMB
Start Time:,03/15/2024 10:00:00
End Time:,1/1/0001 0:00
Operator Instructions:,Synthetic demo data for LMBAgent
#RESULTS CHECK
ReqYear,Test,CellNr,Type,Value,Reason,
2024,201,1,1,3500,3,
#END RESULTS CHECK
Test,Cell,Rack,Shelf,Position,Cell ID,Step,Cycle,Total Time (Seconds),Load On Time (Seconds),Step Time (Seconds),Cycle Charge Time (Seconds),Cycle Discharge Time (Seconds),Real Time,Position Start Time,Voltage (mV),Current (mA),Charge Capacity (mAh),Discharge Capacity (mAh),Charge Capacity (mWh),Discharge Capacity (mWh),ReasonCode,50% DoD (mV),PeakPower 1 (W),PeakPower 2 (W),Open Circuit Voltage 1 (V),Open Circuit Voltage 2 (V),Internal Resistance 1 (mOhm),Internal Resistance 2 (mOhm),Ambient temperature (°C),Cell surface temperature (°C),DC Internal Resistance (mOhm),AC Internal Resistance (mOhm),Station Temperature (°C),
201,1,LAB01,001,1,,0,0,20.000,0,0,0,0,03/15/2024 10:00:00,03/15/2024 10:00:00,2900.5472,0.0,0.000,0.000,0.000,0.000,30,0,0,0,0,0,45.0,0,24.98,24.98,,,,
201,1,LAB01,001,1,,0,0,40.000,0,20,0,0,03/15/2024 10:00:20,03/15/2024 10:00:00,2898.1239,0.0,0.000,0.000,0.000,0.000,2,0,0,0,0,0,45.0,0,25.16,25.16,,,,
201,1,LAB01,001,1,,0,0,60.000,0,40,0,0,03/15/2024 10:00:40,03/15/2024 10:00:00,2901.7892,0.0,0.000,0.000,0.000,0.000,2,0,0,0,0,0,45.0,0,24.81,24.81,,,,
201,1,LAB01,001,1,,0,0,80.000,0,60,0,0,03/15/2024 10:01:00,03/15/2024 10:00:00,2901.3803,0.0,0.000,0.000,0.000,0.000,30,0,0,0,0,0,45.0,0,25.05,25.05,,,,
201,1,LAB01,001,1,,0,0,100.000,0,80,0,0,03/15/2024 10:01:20,03/15/2024 10:00:00,2899.5364,0.0,0.000,0.000,0.000,0.000,2,0,0,0,0,0,45.0,0,25.01,25.01,,,,
201,1,LAB01,001,1,,1,0,216.331,116,116,116,0,03/15/2024 10:01:40,03/15/2024 10:00:00,2773.9938,1750.0,56.550,0.000,156.869,0.000,30,0,0,0,0,0,45.0,0,25.05,25.25,,,,
201,1,LAB01,001,1,,1,0,332.662,233,233,233,0,03/15/2024 10:03:36,03/15/2024 10:00:00,2796.3943,1750.0,113.099,0.000,315.004,0.000,2,0,0,0,0,0,45.0,0,24.98,24.88,,,,
201,1,LAB01,001,1,,1,0,448.993,349,349,349,0,03/15/2024 10:05:32,03/15/2024 10:00:00,2819.1407,1750.0,169.649,0.000,474.425,0.000,2,0,0,0,0,0,45.0,0,25.18,25.46,,,,
201,1,LAB01,001,1,,1,0,565.323,465,465,465,0,03/15/2024 10:07:28,03/15/2024 10:00:00,2842.7035,1750.0,226.199,0.000,635.180,0.000,2,0,0,0,0,0,45.0,0,24.91,25.52,,,,
201,1,LAB01,001,1,,1,0,681.654,582,582,582,0,03/15/2024 10:09:25,03/15/2024 10:00:00,2867.6657,1750.0,282.749,0.000,797.345,0.000,2,0,0,0,0,0,45.0,0,24.98,25.56,,,,
